time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.68804021934e-06,2.96376620345e-07,10.0015609788,0.000130168146565,0.000854037942865,0.0,-0.000214798390259,1.94515083737e-05,0.0520311301927,0.00293044221102,-0.0113942901023,0.0,422.0806683055003,421.09640545999014,421.09685136580157,421.3502032185449
0.12000000000000001,-3.11123606762e-05,2.25820325314e-05,10.0064864619,0.00567441265352,0.000214792644257,0.0,-0.000641561449951,0.00123297241638,0.11214614922,0.0271400822589,-0.0151961348738,0.0,424.8226582751838,424.4967109384277,422.4244001342481,424.5064798863475
0.18,-7.59730862758e-05,0.000223519361529,10.0164174593,0.0080288596426,0.000491655379252,0.0,-0.000895926183152,0.00569892415823,0.218870410763,0.0353508605079,-0.0283993619323,0.0,439.3208193852107,438.2249042072125,438.99643159986044,439.6773889637345
0.23999999999999996,-0.000139547635226,0.000764308073242,10.0351649844,0.010664798884,6.28309392883,0.0,-0.0011710158295,0.012640384032,0.405995836038,0.0261991728596,-0.0412593530298,0.0,464.50166275655175,463.4918701569686,463.96778977489015,463.2491923398473
0.3,-0.000226668369717,0.00178558747292,10.0633676232,0.0186271503101,0.00510111356749,0.0,-0.00225342379587,0.0222776200012,0.534027757416,-0.00271888412838,-0.0121015278504,0.0,445.2288444622414,447.6072655520917,446.60135230914835,444.2367642779339
0.36000000000000004,-0.000475466135989,0.00353863702323,10.1001395878,0.0184625996792,0.00507720163917,0.0,-0.00602786283212,0.0361376481122,0.691622020874,-0.00279199378374,-0.00404400670799,0.0,455.1569018078566,455.8013218215318,454.86373414254365,454.8579361353461
0.4200000000000001,-0.000967994898655,0.00616188545303,10.1484844428,0.0188667231209,0.00626153282643,0.0,-0.0105495738336,0.0513613999015,0.919715191561,-0.0123607750226,-0.01838463701,0.0,477.4411947838832,476.3460738526296,476.22291587487786,475.4906264038177
0.48000000000000015,-0.00177374448446,0.00972531829172,10.2114633764,0.0193641422687,0.00944115729275,0.0,-0.0166796720635,0.0674636964433,1.17934734056,-0.00130809157967,0.00311699899126,0.0,485.483012938019,487.09354830873224,484.96470414102697,485.7941982995691
0.5400000000000001,-0.00300205711726,0.014275642756,10.2881183787,0.0305876663636,0.0104359473906,0.0,-0.0243905852885,0.0854723360724,1.37557254639,0.0343386342851,-0.008001217296,0.0,468.22723017541523,467.36156994088816,466.59507984282544,469.36940691020584
0.6000000000000002,-0.00467499544368,0.0200440458308,10.3731669983,0.0370701176329,0.0100551963354,0.0,-0.0313398717689,0.107428144634,1.45925668164,0.0562056269773,-0.0128561590176,0.0,433.73219084083,433.3244162761245,432.98287321065703,434.81948688951843
0.6600000000000003,-0.00673802104583,0.0271799655644,10.4612513708,0.0415652168986,0.0100772676568,0.0,-0.0374216756666,0.130849842841,1.47684883878,0.0433360464887,-0.00422493908042,0.0,411.7937539207095,412.55659913695945,412.91252141011904,411.77769787873814
0.7200000000000003,-0.00919862105004,0.0359277675646,10.5533708112,0.0460487501293,0.0106742155578,0.0,-0.0446498002509,0.161190255637,1.59362097478,0.0572170608902,0.00474828119461,0.0,443.7119449246756,444.44795367759014,444.48470989551544,445.62215704731784
0.7800000000000004,-0.0120816853047,0.0464608915055,10.6493295246,0.0562395656247,0.014486773978,0.0,-0.0517741122356,0.190794018483,1.60493596977,0.0845188656781,0.0241579633479,0.0,410.18485372579585,411.904731119565,409.05736950765777,411.48497541370426
0.8400000000000004,-0.0154980692794,0.0591258612682,10.748863618,0.0672971871909,0.0162900179735,0.0,-0.0622837348922,0.232475775182,1.71263651831,0.110147735277,0.0295829717168,0.0,443.54591911158525,443.99133166064354,439.7887949413349,441.9137466860599
0.9000000000000005,-0.0196362436417,0.0746508687748,10.8569358057,0.073968434769,0.0227431739227,0.0,-0.0763581786429,0.285763612808,1.88942012391,0.105959111996,0.0521066480664,0.0,463.3100282377108,465.0780146598289,464.0938971284935,463.77492253356115
0.9600000000000005,-0.0246532703537,0.0931988792485,10.9712594008,0.0808846080035,0.0258590429816,0.0,-0.0911626267169,0.333125463656,1.92124979307,0.113033483663,0.0513272276115,0.0,418.4280211752423,418.36208443108325,419.31778546545075,419.94294920724167
1.0200000000000005,-0.0306938067751,0.114950803449,11.0902141736,0.0896873370169,0.0299314897607,0.0,-0.110625929383,0.392861601771,2.04359355241,0.0962145995163,0.0391461547025,0.0,449.5472906758513,448.5605646871947,448.51385178015926,447.1559542006494
1.0800000000000005,-0.0379553779279,0.140382386118,11.2155929598,0.0964939682695,0.0324577373343,0.0,-0.131682837824,0.455512919903,2.1354464945,0.106216289217,0.0331775405002,0.0,439.7476517776256,439.2536488847741,439.1008075855084,439.9383595592506
1.1400000000000006,-0.0464341977119,0.169426284414,11.3435576365,0.103184876188,0.0346297007531,0.0,-0.151130108096,0.513195977341,2.12997391479,0.0987233020752,0.0367937681562,0.0,407.79795951444123,408.1214515503046,408.2430728939019,407.58439748741864
1.2000000000000006,-0.056298364177,0.20253394483,11.4758577361,0.109134129268,0.0408338944331,0.0,-0.178323828973,0.591005809258,2.27962574624,0.0953909962072,0.0575258974518,0.0,457.2676760756628,458.91722902974686,458.5814898858432,458.3245752254422
1.2600000000000007,-0.0679885344971,0.240588225226,11.6184092385,0.116506823922,0.0467732524579,0.0,-0.212043053988,0.678249833671,2.47153895668,0.108309485316,0.039005759626,0.0,472.8610118148375,471.4337631694353,471.1142599719157,472.11996912198003
